,Acetivibrio,Acetoanaerobium,Acidaminococcus,Acidobacterium,Aciduliprofundum,Actinomyces,Acyrthosiphon,Adlercreutzia,Aerococcus,Aeromonas,Afipia,Agrobacterium,Akkermansia,Alistipes,Allofrancisella,Alloiococcus,Alloprevotella,Anaerobium,Anaerococcus,Anaerofustis,Anaeroglobus,Anaerosporomusa,Anaerostipes,Anaerotruncus,Arcobacter,Ascaris,Asticcacaulis,Atopobium,Azospirillum,Bacillus,Bacteroides,Barnesiella,Bifidobacterium,Bilophila,Blastopirellula,Blautia,Burkholderia,Butyricicoccus,Butyrivibrio,Camponotus,Campylobacter,Candidatus Izimaplasma,Candidatus Phytoplasma,Candidatus Solibacter,Candidatus Stoquefichus,Capnocytophaga,Catenibacterium,Catonella,Cecembia,Cellulosilyticum,Chlamydia,Chryseobacterium,Cloacibacillus,Clostridium,Collinsella,Coprobacillus,Coprobacter,Coprococcus,Corallococcus,Coriobacterium,Corynebacterium,Dehalobacter,Desulfitobacterium,Desulfosporosinus,Desulfovibrio,Devosia,Dialister,Dokdonia,Dorea,Dyadobacter,Dysgonomonas,Eggerthella,Enterobacter,Enterococcus,Enterorhabdus,Erysipelatoclostridium,Eubacterium,Faecalibacterium,Flavobacterium,Flavonifractor,Fusicatenibacter,Fusobacterium,Gemella,Gemmatimonas,Geobacillus,Gordonibacter,Granulicatella,Granulicella,Haematobacter,Halomonas,Helicobacter,Herbinix,Holdemanella,Holdemania,Hungatella,Intestinibacter,Johnsonella,Klebsiella,Lachnoanaerobaculum,Lachnoclostridium,Lachnospira,Lactobacillus,Lactococcus,Leptolyngbya,Macellibacteroides,Mageeibacillus,Marvinbryantia,Megamonas,Megasphaera,Methanobrevibacter,Methanomassiliicoccus,Mitsuokella,Mogibacterium,Moorella,Mycobacterium,Mycoplasma,Naegleria,Nitrosopumilus,Odoribacter,Oenococcus,Olsenella,Oribacterium,Oryctes,Oryza,Oscillibacter,Ostreococcus,Paludibacter,Parabacteroides,Paraclostridium,Paraprevotella,Parvimonas,Pedobacter,Peptoanaerobacter,Peptoclostridium,Peptoniphilus,Peptostreptococcus,Phascolarctobacterium,Pirellula,Planktothrix,Polaromonas,Porphyromonas,Prevotella,Proteiniphilum,Pseudarthrobacter,Pseudoflavonifractor,Pseudoramibacter,Pyramidobacter,Raoultella,Rhodobacter,Robinsoniella,Roseburia,Roseiflexus,Roseovarius,Ruminiclostridium,Ruminococcus,Ruthenibacterium,Sanguibacteroides,Selenomonas,Shuttleworthia,Slackia,Smithella,Solobacterium,Staphylococcus,Stenotrophomonas,Stomatobaculum,Streptococcus,Streptomyces,Subdoligranulum,Succinatimonas,Sulfurospirillum,Sutterella,Tannerella,Tepidanaerobacter,Tetragenococcus,Thalassiosira,Thermaerobacter,Thermoanaerobacter,Thermoanaerobacterium,Thermovenabulum,Treponema,Tumebacillus,Tyzzerella,Variovorax,Veillonella,Vibrio,Virgibacillus
Sutterella,1.0,1.0,1.0,1.0,1.0,0.9666620136947442,1.0,0.9918656389167992,0.997958362744594,1.0,1.0,1.0,0.9956562732155154,0.9619122019444448,1.0,1.0,0.9968308751557657,1.0,0.9550693151069227,0.9992775330527691,1.0,1.0,0.999181279851357,0.9989544935840037,1.0,1.0,0.9978660490258894,1.0,1.0,1.0,0.9483095440030934,0.9970964942854523,0.9748498077952028,0.9732627198752425,1.0,0.9448440092777627,1.0,0.986187229433469,0.9994464038947627,1.0,0.9987231365270677,1.0,1.0,1.0,1.0,1.0,0.9960268811271661,1.0,1.0,0.9274254359841196,1.0,1.0,1.0,0.9518516918237871,0.97521146921465,0.993013139482204,1.0,0.9628326608107942,0.9992775330527691,1.0,1.0,1.0,1.0,1.0,0.9837760176997509,1.0,0.9972294562051837,1.0,0.9684195907752959,0.9981044253046063,1.0,0.9974377888119594,1.0,1.0,0.9992775330527691,1.0,0.9922360803207625,0.9581845148861146,1.0,0.9952091123651873,0.9976387741991753,1.0,0.9992775330527691,1.0,1.0,1.0,1.0,1.0,0.9981480839783472,1.0,1.0,0.9987709524486567,0.9923479160849619,0.9925398047967225,0.9902059860505322,0.9992775330527691,1.0,1.0,1.0,0.9634051715190898,0.9992775330527691,0.9430236276896894,1.0,1.0,1.0,0.9996774268717347,0.9992213194646176,1.0,0.9969072878917228,1.0,1.0,1.0,0.9992775330527691,0.9976497460419135,0.9992775330527691,0.9976497460419135,0.9995254462008097,1.0,0.9819970910619221,1.0,1.0,0.9958489587622688,0.9996774268717347,1.0,0.9769051746137662,1.0,1.0,0.9918862248403507,1.0,0.9983808346631425,1.0,1.0,1.0,0.9992775330527691,0.9956884826010652,1.0,0.9581478011194846,0.9996800650637722,0.9884528184049901,1.0,0.9992775330527691,0.9779469605216203,1.0,1.0,1.0,1.0,1.0,1.0,0.9536309344830883,0.9991905427317092,0.9500757295340944,1.0,1.0,0.993496349926835,0.9648747697647571,0.9991045964567395,0.9992775330527691,0.9993313549288835,1.0,0.9934805528088181,1.0,1.0,0.9992775330527691,1.0,1.0,0.9671974679791462,1.0,0.9717915527085185,1.0,1.0,,,,,,,,,,,,,,,,
Tannerella,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9965331756847633,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0926209500962133,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9930718086223411,0.9919388500550473,0.9978613338855148,1.0,1.0,0.9881152119737914,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9995810905388116,1.0,1.0,1.0,0.9979470211859954,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9923454086896099,0.9986383194252515,1.0,0.9992984688944898,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9971336313663193,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.997450771887761,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9991999679849641,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997123796232812,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
Tepidanaerobacter,1.0,1.0,1.0,1.0,1.0,0.9838416402854601,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9935567191598312,1.0,0.9901208212798853,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998500720881951,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9986326771538884,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9946485292738171,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9972731491395874,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9995107427542018,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9994998315926316,1.0,1.0,1.0,0.9942530006132672,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
Tetragenococcus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996824015883465,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998828369494227,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997665195658305,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996597225021944,1.0,1.0,,,,,,,,,,,,,
Thalassiosira,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999279416437947,1.0,1.0,1.0,1.0,0.99998602298658,1.0,0.9981321780412183,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9984697448698621,0.9998831673513476,1.0,1.0,0.9967150768219876,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9970779243004698,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997387617778204,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9995861361555832,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
Thermaerobacter,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998547569626818,1.0,1.0,0.5146298710054384,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9963392593772412,1.0,0.9995126880044096,1.0,1.0,0.9999428391748275,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9948512353963304,1.0,1.0,1.0,1.0,1.0,1.0,0.9999767605094029,0.999984053381339,1.0,1.0,0.9972902698591742,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9965730575263672,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9984759291098543,1.0,1.0,0.9865318734717419,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.998245743366976,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9987740540012875,1.0,1.0,1.0,1.0,1.0,0.999918030323251,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9987924143720567,1.0,1.0,1.0,1.0,0.9998944478004944,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.748044685729602,1.0,1.0,0.990781950548186,0.9996659815656583,1.0,1.0,1.0,1.0,0.9944573718354747,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9906253437631504,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
Thermoanaerobacter,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998499360094012,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9992466297565648,1.0,0.9996209888940384,0.9992932375321899,1.0,0.9999202503589145,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9993012762929083,0.9956781993775211,1.0,1.0,0.9995972343016911,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9990396111893654,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.997600713734754,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9907263755684044,1.0,1.0,1.0,1.0,1.0,1.0,0.9969718065210642,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9980466970372633,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9805027866621158,1.0,1.0,1.0,1.0,0.9997806646050283,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999631654407944,1.0,1.0,1.0,1.0,0.9939995897668509,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996134282431656,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
Thermoanaerobacterium,1.0,1.0,1.0,1.0,1.0,0.9708757333372358,1.0,1.0,1.0,1.0,1.0,1.0,0.3114833465798792,0.9996356485341693,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9969157276682213,1.0,1.0,1.0,1.0,0.9999422888138305,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.991911904618894,0.9991558746247595,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9983881672204445,0.987463681761896,0.9976151537886181,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999965993696824,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9985979386119936,1.0,1.0,1.0,1.0,1.0,0.9996018268352632,1.0,1.0,0.9986800264272685,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9981170872384417,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998955886217912,1.0,1.0,1.0,0.9718208534784676,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9933495385277817,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
Thermovenabulum,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996861796562801,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.998413005120006,1.0,0.9998485930068746,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.998479772090202,0.999946219576561,1.0,1.0,0.9989979098282972,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999108148644299,1.0,0.9998407286946203,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9972299182714417,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9977995238510543,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996383355202744,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.998479513332505,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
Treponema,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5446892100463028,1.0,1.0,1.0,1.0,0.9998894008680352,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9967959281755792,1.0,0.9998597265368786,0.9971581901421978,1.0,0.9999176808347484,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9995609344111097,0.9997519017214518,1.0,1.0,0.9977674256521353,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996734067753266,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9994637094174034,0.9985138447446303,1.0,0.9992209792102932,0.9994478050271223,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9953440702519386,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998975464756839,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9985315601002908,1.0,1.0,1.0,1.0,1.0,1.0,0.8519459711128047,1.0,1.0,1.0,1.0,1.0,0.999591264404786,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9990656176911719,1.0,1.0,0.9986827349956638,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
Tumebacillus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9988828239415998,1.0,0.9997086744388103,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998379557634262,1.0,1.0,1.0,0.9987667715501276,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999919956711092,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9986082857706258,1.0,0.9975216523105476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9991720803544654,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999569297062,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9980445408244253,0.9995865723711252,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
Tyzzerella,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9962187296772446,0.9892757510080615,1.0,1.0,1.0,0.9855797098453207,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9985789327493653,0.9997675201528606,0.981669900349008,1.0,0.9986232764839902,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998985409547624,1.0,1.0,1.0,1.0,1.0,1.0,0.9811595158377482,1.0,0.998662063685426,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9541547388008126,1.0,1.0,1.0,1.0,0.996115611603603,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9919520487970789,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996390151997543,1.0,1.0,1.0,0.9981931674447144,0.8095682737629998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9992728635636647,1.0,0.9987048301999725,1.0,1.0,0.9975378610083794,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
Variovorax,1.0,1.0,1.0,1.0,1.0,0.8391580921714921,1.0,1.0,1.0,1.0,1.0,1.0,0.9985206440597159,0.9945545030266326,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9882943002173015,1.0,0.9955439019940994,1.0,1.0,0.9994882739050139,1.0,0.9949703156191535,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999398923438081,1.0,1.0,1.0,1.0,1.0,1.0,0.991512986341195,0.7303303608922952,1.0,1.0,0.9966326839133228,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999928751003677,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9944693124670101,0.9825973614657696,1.0,0.9995010814416238,1.0,1.0,0.9391958077194397,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9867456021773481,1.0,1.0,1.0,1.0,0.9974329245085177,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9962287914259951,1.0,1.0,1.0,1.0,1.0,0.9996424715184982,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997558316041986,1.0,1.0,1.0,0.4460850139198035,0.9899300411801435,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9872462190469145,1.0,1.0,1.0,1.0,0.983845359683611,1.0,0.26347808369104775,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9992519695038858,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Veillonella,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7846507947924908,1.0,1.0,1.0,1.0,1.0,1.0,0.999761729163302,1.0,0.9990451433937902,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.991366939168909,0.9978673468943611,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999161242150373,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998490570184435,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9954894695360329,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9979588038252397,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5233122132401136,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7846507947924908,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
Vibrio,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998167393520787,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996025927226857,1.0,1.0,1.0,0.9993737888586921,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999364631590153,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9926090802766083,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9878566725140098,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
