,VS,dij_list
245,Anaerotruncus_vs_Alloprevotella,1.0
246,Anaerotruncus_vs_Amycolatopsis,0.998599087878022
247,Anaerotruncus_vs_Anaerobium,1.0
248,Anaerotruncus_vs_Anaerococcus,1.0
249,Anaerotruncus_vs_Anaerofustis,1.0
250,Anaerotruncus_vs_Anaeroglobus,1.0
251,Anaerotruncus_vs_Anaerosporomusa,1.0
252,Anaerotruncus_vs_Anaerostipes,0.9905039383822335
253,Anaerovibrio_vs_Acetivibrio,1.0
254,Anaerovibrio_vs_Acetoanaerobium,1.0
255,Anaerovibrio_vs_Acidaminococcus,1.0
256,Anaerovibrio_vs_Acidimicrobium,1.0
257,Anaerovibrio_vs_Acidobacterium,1.0
258,Anaerovibrio_vs_Aciduliprofundum,1.0
259,Anaerovibrio_vs_Actinomyces,1.0
260,Anaerovibrio_vs_Acyrthosiphon,1.0
261,Anaerovibrio_vs_Adlercreutzia,1.0
262,Anaerovibrio_vs_Aerococcus,1.0
263,Anaerovibrio_vs_Afipia,1.0
264,Anaerovibrio_vs_Akkermansia,1.0
265,Anaerovibrio_vs_Alistipes,0.9970069245263617
266,Anaerovibrio_vs_Alkaliphilus,1.0
267,Anaerovibrio_vs_Alloprevotella,1.0
268,Anaerovibrio_vs_Amycolatopsis,1.0
269,Anaerovibrio_vs_Anaerobium,1.0
270,Anaerovibrio_vs_Anaerococcus,1.0
271,Anaerovibrio_vs_Anaerofustis,1.0
272,Anaerovibrio_vs_Anaeroglobus,1.0
273,Anaerovibrio_vs_Anaerosporomusa,1.0
274,Anaerovibrio_vs_Anaerostipes,1.0
275,Anaerovibrio_vs_Anaerotruncus,1.0
276,Arcobacter_vs_Acetivibrio,1.0
277,Arcobacter_vs_Acetoanaerobium,1.0
278,Arcobacter_vs_Acidaminococcus,1.0
279,Arcobacter_vs_Acidimicrobium,1.0
280,Arcobacter_vs_Acidobacterium,1.0
281,Arcobacter_vs_Aciduliprofundum,1.0
282,Arcobacter_vs_Actinomyces,1.0
283,Arcobacter_vs_Acyrthosiphon,1.0
284,Arcobacter_vs_Adlercreutzia,1.0
285,Arcobacter_vs_Aerococcus,1.0
286,Arcobacter_vs_Afipia,1.0
287,Arcobacter_vs_Akkermansia,1.0
288,Arcobacter_vs_Alistipes,1.0
289,Arcobacter_vs_Alkaliphilus,1.0
290,Arcobacter_vs_Alloprevotella,1.0
291,Arcobacter_vs_Amycolatopsis,1.0
292,Arcobacter_vs_Anaerobium,1.0
293,Arcobacter_vs_Anaerococcus,1.0
294,Arcobacter_vs_Anaerofustis,1.0
295,Arcobacter_vs_Anaeroglobus,1.0
296,Arcobacter_vs_Anaerosporomusa,1.0
297,Arcobacter_vs_Anaerostipes,1.0
298,Arcobacter_vs_Anaerotruncus,1.0
299,Arcobacter_vs_Anaerovibrio,1.0
300,Ascaris_vs_Acetivibrio,1.0
301,Ascaris_vs_Acetoanaerobium,1.0
302,Ascaris_vs_Acidaminococcus,1.0
303,Ascaris_vs_Acidimicrobium,1.0
304,Ascaris_vs_Acidobacterium,1.0
305,Ascaris_vs_Aciduliprofundum,1.0
306,Ascaris_vs_Actinomyces,1.0
307,Ascaris_vs_Acyrthosiphon,1.0
308,Ascaris_vs_Adlercreutzia,1.0
309,Ascaris_vs_Aerococcus,1.0
310,Ascaris_vs_Afipia,1.0
311,Ascaris_vs_Akkermansia,1.0
312,Ascaris_vs_Alistipes,0.9978820058053137
313,Ascaris_vs_Alkaliphilus,1.0
314,Ascaris_vs_Alloprevotella,1.0
315,Ascaris_vs_Amycolatopsis,1.0
316,Ascaris_vs_Anaerobium,1.0
317,Ascaris_vs_Anaerococcus,1.0
318,Ascaris_vs_Anaerofustis,1.0
319,Ascaris_vs_Anaeroglobus,1.0
320,Ascaris_vs_Anaerosporomusa,1.0
321,Ascaris_vs_Anaerostipes,1.0
322,Ascaris_vs_Anaerotruncus,1.0
323,Ascaris_vs_Anaerovibrio,1.0
324,Ascaris_vs_Arcobacter,1.0
325,Asticcacaulis_vs_Acetivibrio,1.0
326,Asticcacaulis_vs_Acetoanaerobium,1.0
327,Asticcacaulis_vs_Acidaminococcus,1.0
328,Asticcacaulis_vs_Acidimicrobium,1.0
329,Asticcacaulis_vs_Acidobacterium,1.0
330,Asticcacaulis_vs_Aciduliprofundum,1.0
331,Asticcacaulis_vs_Actinomyces,1.0
332,Asticcacaulis_vs_Acyrthosiphon,1.0
333,Asticcacaulis_vs_Adlercreutzia,1.0
334,Asticcacaulis_vs_Aerococcus,1.0
335,Asticcacaulis_vs_Afipia,1.0
336,Asticcacaulis_vs_Akkermansia,1.0
337,Asticcacaulis_vs_Alistipes,0.9997168276202141
338,Asticcacaulis_vs_Alkaliphilus,1.0
339,Asticcacaulis_vs_Alloprevotella,1.0
340,Asticcacaulis_vs_Amycolatopsis,1.0
341,Asticcacaulis_vs_Anaerobium,1.0
342,Asticcacaulis_vs_Anaerococcus,1.0
343,Asticcacaulis_vs_Anaerofustis,1.0
344,Asticcacaulis_vs_Anaeroglobus,1.0
345,Asticcacaulis_vs_Anaerosporomusa,1.0
346,Asticcacaulis_vs_Anaerostipes,1.0
347,Asticcacaulis_vs_Anaerotruncus,1.0
348,Asticcacaulis_vs_Anaerovibrio,1.0
349,Asticcacaulis_vs_Arcobacter,1.0
350,Asticcacaulis_vs_Ascaris,1.0
351,Atopobium_vs_Acetivibrio,1.0
352,Atopobium_vs_Acetoanaerobium,1.0
353,Atopobium_vs_Acidaminococcus,1.0
354,Atopobium_vs_Acidimicrobium,1.0
355,Atopobium_vs_Acidobacterium,1.0
356,Atopobium_vs_Aciduliprofundum,1.0
357,Atopobium_vs_Actinomyces,1.0
